Номер лицевого счёта;ФИО;Адрес;Баланс;Задолженность;Дата открытия
2100415051;Попов Константин Дмитриевич;г. Воронеж, ул. проезд Ясный, д. 8, кв. 190;0,00;0,00;2018-10-17
2100425152;Соколова Ирина Николаевна;г. Воронеж, 60 Армии ул, д. 28, кв. 74;1250,00;0,00;2011-12-22
2100435253;Михайлов Егор Сергеевич;г. Воронеж, ул. Путиловская, д. 43, кв. 246;0,00;0,00;2016-03-09
2100445354;Новикова Светлана Петровна;г. Воронеж, ул. 20 лет Октября, д. 114, кв. 133;-1813,70;1813,70;2019-08-26
2100455455;Фёдоров Павел Владимирович;г. Воронеж, Минская, д. 54, кв. 59;0,00;0,00;2012-06-13
2100465556;Морозова Анна Алексеевна;г. Воронеж, ул. Станкевича, д. 40, кв. 271;0,00;0,00;2020-11-20
2100475657;Васильева Ольга Дмитриевна;г. Воронеж, ул. Спор. Набережная, д. 13, кв. 145;620,75;0,00;2014-04-05
2100485758;Иванов Сергей Константинович;г. Воронеж, ул. Б. Победы, д. 51а, кв. 88;0,00;0,00;2017-09-12
2100495859;Петров Андрей Николаевич;г. Воронеж, Старых Большевиков, д. 80, кв. 212;-1250,00;1250,00;2010-10-28
2100505960;Кузнецова Юлия Егоровна;г. Воронеж, ул. Новгородская, д. 167, кв. 47;0,00;0,00;2015-02-15
2100516061;Смирнов Михаил Владимирович;г. Воронеж, ул. Порт — Артурская, д. 21, кв. 169;0,00;0,00;2018-05-03
2100526162;Попова Виктория Сергеевна;г. Воронеж, Ленинский пр. 124а, д. 136, кв. 236;-895,74;895,74;2013-08-20
2100536263;Соколов Павел Андреевич;г. Воронеж, ул. пер. Рамонский, д. 17, кв. 104;0,00;0,00;2021-03-07
2100546364;Михайлова Дарья Михайловна;г. Воронеж, ул. Жукова, д. 37, кв. 281;300,00;0,00;2016-07-24
2100556465;Новиков Дмитрий Петрович;г. Воронеж, Гаршина, д. 49, кв. 36;0,00;0,00;2011-05-11
2100566566;Фёдорова Марина Константиновна;г. Воронеж, Фестивальный б-р, д. 44, кв. 157;-2367,03;2367,03;2019-01-28
2100576667;Морозов Алексей Сергеевич;г. Воронеж, Писарева, д. 49, кв. 223;0,00;0,00;2014-09-15
2100586768;Васильев Николай Владимирович;г. Воронеж, ул. Ильича, д. 179, кв. 90;0,00;0,00;2017-12-02
2100596869;Иванова Анастасия Алексеевна;г. Воронеж, ул. Багрицкого, д. 1, кв. 264;1480,20;0,00;2012-02-18
2100606970;Петрова Екатерина Дмитриевна;г. Воронеж, ул. К.Маркса, д. 74, кв. 129;0,00;0,00;2020-06-06
2100617071;Сидоров Сергей Павлович;г. Воронеж, ул. пер. Автогенный, д. 53, кв. 200;-745,04;745,04;2015-11-23
2100627172;Кузнецов Егор Николаевич;г. Воронеж, ул. Пешестрелецкая, д. 157, кв. 63;0,00;0,00;2013-01-10
2100637273;Смирнова Юлия Владимировна;г. Воронеж, ул. Б. Победы, д. 50, кв. 175;0,00;0,00;2018-08-27
2100647374;Попов Андрей Сергеевич;г. Воронеж, ул. Керамическая, д. 68, кв. 242;-331,78;331,78;2011-09-14
2100657475;Соколова Наталья Петровна;г. Воронеж, ул. Ленинградская, д. 20, кв. 111;0,00;0,00;2016-12-31
2100667576;Михайлов Константин Алексеевич;г. Воронеж, ул. пер. Гвардейский, д. 2, кв. 27;91,32;0,00;2019-10-18
2100677677;Новикова Ирина Дмитриевна;г. Воронеж, ул. Курчатова, д. 36а, кв. 194;0,00;0,00;2014-02-05
2100687778;Фёдоров Сергей Константинович;г. Воронеж, ул. Новосибирская, д. 55, кв. 82;-1642,08;1642,08;2017-05-22
2100697879;Морозова Светлана Егоровна;г. Воронеж, Богдана Хмельницкого, д. 73, кв. 258;0,00;0,00;2010-12-09
2100707980;Васильева Татьяна Сергеевна;г. Воронеж, ул. Менделеева, д. 49, кв. 141;0,00;0,00;2021-07-26
2100718081;Иванов Павел Михайлович;г. Воронеж, ул. Вл. Невского, д. 54, кв. 56;2750,00;0,00;2015-04-13
2100728182;Петрова Ольга Николаевна;г. Воронеж, ул. Жемчужная, д. 6д, кв. 219;0,00;0,00;2013-10-30
2100738283;Кузнецова Дарья Владимировна;г. Воронеж, Победы б-р, д. 6, кв. 95;-508,00;508,00;2018-03-17
2100748384;Смирнов Алексей Петрович;г. Воронеж, ул. Новгородская, д. 175, кв. 160;0,00;0,00;2012-08-04
2100758485;Попова Елена Константиновна;г. Воронеж, ул. Г. Лизюкова, д. 122, кв. 226;0,00;0,00;2016-04-21
2100768586;Соколов Дмитрий Сергеевич;г. Воронеж, ул. Б. Победы, д. 89, кв. 70;-2140,50;2140,50;2019-12-08
2100778687;Михайлова Анна Андреевна;г. Воронеж, ул. Корейская, д. 6б, кв. 183;0,00;0,00;2014-07-25
2100788788;Новиков Владимир Дмитриевич;г. Воронеж, ул. Саврасова, д. 2, кв. 249;430,60;0,00;2011-03-12
2100798889;Фёдорова Виктория Павловна;г. Воронеж, ул. Ю. Янониса, д. 62, кв. 116;0,00;0,00;2020-09-29
2100808990;Морозов Николай Константинович;г. Воронеж, ул. пер. Гвардейский, д. 32, кв. 284;-967,20;967,20;2015-06-16
2100819091;Васильев Сергей Алексеевич;г. Воронеж, ул. Острогожская, д. 191, кв. 41;0,00;0,00;2013-02-02
2100829192;Иванова Мария Егоровна;г. Воронеж, ул. Пешестрелецкая, д. 167, кв. 168;0,00;0,00;2018-12-19
2100839293;Петров Константин Сергеевич;г. Воронеж, ул. Хользунова, д. 108, кв. 233;1100,00;0,00;2012-05-06
2100849394;Кузнецов Андрей Владимирович;г. Воронеж, ул. О. Дундича, д. 55, кв. 99;0,00;0,00;2016-10-23
2100859495;Смирнова Наталья Михайловна;г. Воронеж, ул. Солнечная, д. 55, кв. 276;-3675,00;3675,00;2019-03-10
2100869596;Попов Егор Алексеевич;г. Воронеж, ул. Наб. Авиастроителей, д. 28, кв. 143;0,00;0,00;2014-11-27
2100879697;Соколова Екатерина Владимировна;г. Воронеж, ул. Кривошеина, д. 70, кв. 60;0,00;0,00;2017-01-14
2100889798;Михайлов Сергей Дмитриевич;г. Воронеж, 45 Стрелковой Дивизии, д. 62а, кв. 187;-457,90;457,90;2010-07-01
2100899899;Новикова Ольга Сергеевна;г. Воронеж, ул. Курчатова, д. 73, кв. 252;0,00;0,00;2021-04-18
2100909900;Фёдоров Михаил Петрович;г. Воронеж, ул. Шишкова, д. 103а, кв. 125;78,93;0,00;2015-09-05
2100910001;Морозова Ирина Николаевна;г. Воронеж, Артамонова, д. 52, кв. 208;0,00;0,00;2013-06-22
2100920102;Васильева Анна Константиновна;г. Воронеж, ул. Корейская, д. 45, кв. 77;-1250,00;1250,00;2018-02-08
2100930203;Иванов Дмитрий Сергеевич;г. Воронеж, ул. Свободы, д. 64, кв. 261;0,00;0,00;2012-10-25
2100940304;Петрова Татьяна Владимировна;г. Воронеж, ул. Комиссаржевской, д. 44, кв. 134;0,00;0,00;2016-06-11
2100950405;Сидорова Елена Петровна;г. Воронеж, ул. 20 лет Октября, д. 128, кв. 50;2367,03;0,00;2019-07-28
2100960506;Кузнецова Светлана Алексеевна;г. Воронеж, ул. Ленинградская, д. 55а, кв. 172;0,00;0,00;2014-03-16
2100970607;Смирнов Константин Дмитриевич;г. Воронеж, ул. Ю. Янониса, д. 33, кв. 238;-895,74;895,74;2017-08-03
2100980708;Попова Марина Егоровна;г. Воронеж, ул. Жемчужная, д. 6д, кв. 106;0,00;0,00;2011-01-20
2100990809;Соколов Николай Павлович;г. Воронеж, ул. Б. Победы, д. 69, кв. 293;0,00;0,00;2020-05-07
2100100910;Михайлова Юлия Михайловна;г. Воронеж, Владимира Невского, д. 95, кв. 159;-331,78;331,78;2015-12-24
2100111011;Новиков Алексей Владимирович;г. Воронеж, Туполева, д. 53, кв. 22;0,00;0,00;2013-04-11
2100204815;Фёдорова Дарья Андреевна;г. Воронеж, ул. Цимлянская, д. 1, кв. 86;540,00;0,00;2018-09-01
2100315926;Морозов Павел Егорович;г. Воронеж, ул. пер. Автогенный, д. 9, кв. 267;0,00;0,00;2012-01-17
2100426037;Васильев Дмитрий Сергеевич;г. Воронеж, ул. Красноармейская, д. 60, кв. 149;-1813,70;1813,70;2016-08-04
2100537148;Иванова Виктория Константиновна;г. Воронеж, ул. проезд Ясный, д. 4, кв. 214;0,00;0,00;2019-11-21
2100648259;Петров Сергей Алексеевич;г. Воронеж, ул. Керамическая, д. 72, кв. 78;0,00;0,00;2014-05-08
2100759360;Кузнецова Наталья Сергеевна;г. Воронеж, ул. Пер. Ольховый, д. 23, кв. 241;300,00;0,00;2017-03-25
2100860471;Смирнов Егор Николаевич;г. Воронеж, Средне-Московская, д. 6а, кв. 115;0,00;0,00;2010-09-12
2100971582;Попова Анастасия Владимировна;г. Воронеж, ул. Солнечная, д. 23, кв. 32;-2367,03;2367,03;2021-02-28
2100082693;Соколова Ирина Петровна;г. Воронеж, ул. Волго-Донская, д. 42, кв. 196;0,00;0,00;2015-08-15
2100193704;Михайлов Владимир Сергеевич;г. Воронеж, ул. Менделеева, д. 4а, кв. 67;0,00;0,00;2013-12-02
2100304815;Новикова Екатерина Дмитриевна;г. Воронеж, ул. Мопра, д. 19/1, кв. 230;-745,04;745,04;2018-06-19
2100415926;Фёдоров Константин Владимирович;г. Воронеж, ул. Солнечная, д. 10, кв. 94;0,00;0,00;2012-03-06
2100526037;Морозова Татьяна Алексеевна;г. Воронеж, ул. Загородная, д. 32, кв. 158;0,00;0,00;2016-01-23
2100637148;Васильева Марина Павловна;г. Воронеж, ул.Междуреченская, д. 9, кв. 222;1650,40;0,00;2019-05-10
2100748259;Иванов Андрей Егорович;г. Воронеж, ул. Багрицкого, д. 28, кв. 89;0,00;0,00;2014-10-27
2100859360;Петрова Юлия Михайловна;г. Воронеж, Ул. Р. Беляевой, д. 6, кв. 273;-508,00;508,00;2017-07-14
2100960471;Сидоров Николай Алексеевич;г. Воронеж, Суворова, д. 65, кв. 138;0,00;0,00;2011-06-01
2100071582;Кузнецова Ольга Константиновна;г. Воронеж, ул. Дорожная, д. 21, кв. 203;0,00;0,00;2020-12-18
2100182693;Смирнова Светлана Сергеевна;г. Воронеж, ул. проезд Ясный, д. 12, кв. 65;-1642,08;1642,08;2015-03-05
2100293704;Попов Павел Дмитриевич;г. Воронеж, ул.Междуреченская, д. 27, кв. 250;0,00;0,00;2013-09-22
2100404815;Соколов Сергей Владимирович;г. Воронеж, ул. Кольцовская, д. 70, кв. 121;91,32;0,00;2018-04-09
2100515926;Михайлова Елена Николаевна;г. Воронеж, ул. Кольцовская, д. 91, кв. 286;0,00;0,00;2012-11-26
2100626037;Новиков Михаил Петрович;г. Воронеж, Маршала Одинцова, д. 64, кв. 153;-967,20;967,20;2016-09-13
2100737148;Фёдорова Анна Егоровна;г. Воронеж, Космонавта Комарова ул, д. 25, кв. 20;0,00;0,00;2019-02-01
2100848259;Морозов Дмитрий Константинович;г. Воронеж, Суворова, д. 131, кв. 97;0,00;0,00;2014-08-18
2100959360;Васильева Виктория Сергеевна;г. Воронеж, ул. Брусилова, д. 29, кв. 174;2900,00;0,00;2017-04-05
2100060471;Иванова Дарья Владимировна;г. Воронеж, Космонавта Комарова ул, д. 25, кв. 240;0,00;0,00;2010-04-22
2100171582;Петров Алексей Сергеевич;г. Воронеж, Земнухова пер, д. 29, кв. 108;-1250,00;1250,00;2021-08-09
2100282693;Кузнецов Владимир Николаевич;г. Воронеж, Олеко Дундича ул, д. 25, кв. 31;0,00;0,00;2015-01-26
2100393704;Смирнова Ирина Алексеевна;г. Воронеж, ул. Шишкова, д. 123, кв. 195;0,00;0,00;2013-07-13
2100504815;Попова Екатерина Павловна;г. Воронеж, ул. Корольковой, д. 34, кв. 262;-2140,50;2140,50;2018-11-30
2100615926;Соколов Константин Сергеевич;г. Воронеж, 25 Января, д. 80, кв. 140;0,00;0,00;2012-07-17
2100726037;Михайлов Егор Дмитриевич;г. Воронеж, ул. 45 Стр. Дивизии, д. 247е, кв. 207;430,60;0,00;2016-03-04
2100837148;Новикова Наталья Владимировна;г. Воронеж, ул. Комиссаржевской, д. 15, кв. 73;0,00;0,00;2019-09-21
2100948259;Фёдоров Сергей Петрович;г. Воронеж, Маршала Одинцова, д. 34, кв. 236;0,00;0,00;2014-01-08
2100059360;Морозова Марина Константиновна;г. Воронеж, ул. Жукова, д. 28, кв. 119;-457,90;457,90;2017-10-25
2100160471;Васильев Павел Алексеевич;г. Воронеж, ул. Новосибирская, д. 74, кв. 284;0,00;0,00;2011-02-11
2100271582;Иванова Светлана Егоровна;г. Воронеж, ул. Курчатова, д. 26б, кв. 146;0,00;0,00;2020-07-28
2100382693;Петрова Анна Сергеевна;г. Воронеж, ул. пер. Парашютистов, д. 27, кв. 62;1250,00;0,00;2015-05-15
2100493704;Сидоров Дмитрий Михайлович;г. Воронеж, Мордасовой, д. 18, кв. 228;0,00;0,00;2013-11-02
2100604815;Кузнецова Татьяна Петровна;г. Воронеж, ул. 60 лет ВЛКСМ, д. 29, кв. 101;-3675,00;3675,00;2018-01-19
2100715926;Смирнов Андрей Владимирович;г. Воронеж, ул. пер. Аннинский, д. 22, кв. 176;0,00;0,00;2012-09-06
2100826037;Попов Николай Сергеевич;г. Воронеж, Мордасовой, д. 3а, кв. 243;0,00;0,00;2016-05-23
2100937148;Соколова Ольга Дмитриевна;г. Воронеж, ул. Багрицкого, д. 1, кв. 110;78,93;0,00;2019-12-10
2100048259;Михайлова Анастасия Павловна;г. Воронеж, ул. Вл. Невского, д. 52, кв. 27;0,00;0,00;2014-06-27
2100159360;Новиков Сергей Алексеевич;г. Воронеж, Южно-Моравская ул, д. 15а, кв. 192;-895,74;895,74;2017-02-14
2100260471;Фёдорова Юлия Николаевна;г. Воронеж, ул. Волго-Донская, д. 61, кв. 58;0,00;0,00;2010-11-01
2100371582;Морозов Алексей Владимирович;г. Воронеж, пер. Ученический, д. 5, кв. 221;0,00;0,00;2021-05-18
2100482693;Васильева Елена Константиновна;г. Воронеж, ул. Космонавтов, д. 51, кв. 85;-331,78;331,78;2015-10-05
2100593704;Иванов Михаил Сергеевич;г. Воронеж, ул. 45 Стр. Дивизии, д. 247/1, кв. 259;0,00;0,00;2013-03-22
2100704815;Петрова Виктория Андреевна;г. Воронеж, ул. Брусилова, д. 35, кв. 126;540,00;0,00;2018-08-08
2100815926;Кузнецов Павел Егорович;г. Воронеж, ул. Циолковского, д. 129, кв. 291;0,00;0,00;2012-04-25
2100926037;Смирнова Анна Михайловна;г. Воронеж, ул. Карпинского, д. 6, кв. 156;-1813,70;1813,70;2016-12-12
2100037148;Попова Дарья Сергеевна;г. Воронеж, ул. Шишкова, д. 122, кв. 23;0,00;0,00;2019-04-29
2100148259;Соколов Владимир Петрович;г. Воронеж, Цюрупы ул, д. 9, кв. 188;0,00;0,00;2014-09-16
2100259360;Михайлова Ирина Дмитриевна;г. Воронеж, ул. Электросигнальная, д. 36, кв. 54;300,00;0,00;2017-06-03
2100360471;Новикова Светлана Константиновна;г. Воронеж, ул. Волго-Донская, д. 16, кв. 217;0,00;0,00;2011-08-20
2100471582;Фёдоров Егор Сергеевич;г. Воронеж, ул. Димитрова, д. 86, кв. 91;-2367,03;2367,03;2020-02-06
2100582693;Морозова Екатерина Владимировна;г. Воронеж, Маршала Жукова, д. 20, кв. 265;0,00;0,00;2015-07-23
2100693704;Васильев Константин Николаевич;г. Воронеж, Иркутская, д. 45, кв. 132;0,00;0,00;2013-01-29
2100804815;Иванова Наталья Алексеевна;г. Воронеж, Волгоградская, д. 88, кв. 199;-745,04;745,04;2018-05-16
2100915926;Петров Дмитрий Константинович;г. Воронеж, Маршала Жукова, д. 16, кв. 68;0,00;0,00;2012-12-03
2100026037;Кузнецова Марина Егоровна;г. Воронеж, ул. Путиловская, д. 2а, кв. 234;0,00;0,00;2016-07-20
2100137148;Смирнов Сергей Павлович;г. Воронеж, ул. Краснознамённая, д. 50, кв. 102;1480,20;0,00;2019-10-07
2100248259;Попова Виктория Алексеевна;г. Воронеж, ул. Жукова, д. 46, кв. 277;0,00;0,00;2014-02-24
2100359360;Соколова Татьяна Николаевна;г. Воронеж, Ул. Р. Беляевой, д. 39, кв. 144;-508,00;508,00;2017-11-11
2100460471;Михайлов Павел Владимирович;г. Воронеж, Иркутская, д. 15а, кв. 59;0,00;0,00;2010-06-28
2100571582;Новиков Андрей Сергеевич;г. Воронеж, ул. Танеева, д. 47, кв. 224;0,00;0,00;2021-01-15
2100682693;Фёдорова Ирина Петровна;г. Воронеж, ул. Кривошеина, д. 104, кв. 90;-1642,08;1642,08;2015-04-02
2100793704;Морозов Сергей Константинович;г. Воронеж, Фестивальный б-р, д. 51, кв. 165;0,00;0,00;2013-08-19
2100904815;Васильева Ольга Сергеевна;г. Воронеж, ул. Беговая, д. 253, кв. 251;91,32;0,00;2018-10-06
2100015926;Иванов Константин Дмитриевич;г. Воронеж, ул. Волго-Донская, д. 49, кв. 117;0,00;0,00;2012-06-23
2100126037;Петрова Елена Егоровна;г. Воронеж, ул. Г. Лизюкова, д. 21, кв. 282;0,00;0,00;2016-02-09
2100237148;Кузнецов Николай Сергеевич;г. Воронеж, Баррикадная, д. 80, кв. 148;-967,20;967,20;2019-06-26
2100348259;Смирнова Юлия Андреевна;г. Воронеж, ул. 60 лет ВЛКСМ, д. 58, кв. 210;0,00;0,00;2014-12-13
2100459360;Попов Алексей Владимирович;г. Воронеж, ул. Кулибина, д. 47, кв. 75;2750,00;0,00;2017-09-30
2100560471;Соколова Анна Сергеевна;г. Воронеж, ул. Волго-Донская, д. 13, кв. 239;0,00;0,00;2011-04-17
2100671582;Михайлова Светлана Николаевна;г. Воронеж, ул. Наб. Авиастроителей, д. 28, кв. 106;-1250,00;1250,00;2020-10-04
2100782693;Новикова Мария Владимировна;г. Воронеж, ул. Краснознамённая, д. 12, кв. 181;0,00;0,00;2015-02-21
2100893704;Фёдоров Дмитрий Алексеевич;г. Воронеж, ул. Острогожская, д. 185, кв. 246;0,00;0,00;2013-05-08
2100004815;Морозова Наталья Петровна;г. Воронеж, ул. Спор. Набережная, д. 4, кв. 133;-2140,50;2140,50;2018-03-25
2100115926;Васильев Егор Михайлович;г. Воронеж, ул. Подклетенская, д. 53, кв. 200;0,00;0,00;2012-08-11
2100226037;Иванова Ирина Константиновна;г. Воронеж, Туполева, д. 58, кв. 66;0,00;0,00;2016-04-28
2100337148;Петров Владимир Сергеевич;г. Воронеж, Минская, д. 69, кв. 232;430,60;0,00;2019-01-14
2100448259;Кузнецова Екатерина Николаевна;г. Воронеж, Краснозвездная ул, д. 8, кв. 98;0,00;0,00;2014-07-01
2100559360;Смирнов Павел Алексеевич;г. Воронеж, ул. Костромская, д. 50, кв. 171;-457,90;457,90;2017-01-28
2100660471;Попова Марина Владимировна;г. Воронеж, ул. пер. Цимлянский, д. 17, кв. 245;0,00;0,00;2010-03-15
2100771582;Соколов Егор Дмитриевич;г. Воронеж, ул. Б.Пионеров, д. 44, кв. 112;0,00;0,00;2021-09-02
2100882693;Михайлов Андрей Петрович;г. Воронеж, ул. 20 лет Октября, д. 91, кв. 27;-3675,00;3675,00;2015-06-19
2100993704;Новикова Ольга Константиновна;г. Воронеж, ул. 9 Января, д. 233/20, кв. 194;0,00;0,00;2013-10-06
2100104815;Фёдорова Светлана Сергеевна;г. Воронеж, ул. Г.Сибиряков, д. 85, кв. 61;1100,00;0,00;2018-12-23
2100215926;Морозов Константин Владимирович;г. Воронеж, ул. Менделеева, д. 25, кв. 227;0,00;0,00;2012-02-09
2100326037;Васильева Анна Алексеевна;г. Воронеж, ул. Солнечная, д. 46, кв. 93;-895,74;895,74;2016-10-16
2100437148;Иванов Сергей Егорович;г. Воронеж, Шендрикова ул, д. 21, кв. 158;0,00;0,00;2019-03-03
2100548259;Петрова Дарья Павловна;г. Воронеж, Олеко Дундича ул, д. 38, кв. 220;0,00;0,00;2014-11-20
2100659360;Кузнецов Алексей Сергеевич;г. Воронеж, Южно-Моравская ул, д. 92, кв. 86;78,93;0,00;2017-05-07
2100760471;Смирнова Виктория Дмитриевна;г. Воронеж, ул. О. Дундича, д. 9, кв. 253;0,00;0,00;2011-11-24
2100871582;Попова Татьяна Петровна;г. Воронеж, Ул. П. Осипенко, д. 29, кв. 120;-331,78;331,78;2020-04-11
2100982693;Соколова Дарья Егоровна;г. Воронеж, ул. Корольковой, д. 10/1, кв. 294;0,00;0,00;2015-09-28
2100093704;Михайлов Николай Константинович;г. Воронеж, ул. Хользунова, д. 163, кв. 167;0,00;0,00;2013-12-15
